38;"Laptop Lenovo IdeaPad 1i 14"" HD CPU Intel Core i3-1215U RAM 4 GB SSD 128 GB W11 Home";2825.00;romitech
39;"Laptop Lenovo IdeaPad 1i 14"" HD CPU Intel Core i3-1215U RAM 4 GB SSD 256 GB W11 Home";2955.00;romitech
40;"Laptop Lenovo IdeaPad 1i 14"" HD CPU Intel Core i3-1215U RAM 8 GB SSD 256 GB W11 Home";2999.00;romitech
41;"Asus ROG Zephyrus Duo 16 GX650PZ Ryzen 9 7945HX 32GB RAM + 1TB SSD 16"" RTX 4080 12GB Win11 Pro Negro";36639.00;kemik
42;"Laptop Lenovo ThinkPad P16 G1 Core i7-12800HX 16GB RAM + 512GB SSD + RTX A2000 8GB 16"" Win11 Pro Gris Oscuro";29845.00;kemik
43;"Laptop HP ZBook Power G9 Core i9-12900H 16GB RAM + 1TB SSD + RTX A1000 4GB 15.6"" Win11 Pro Gris";21529.00;kemik
44;"Laptop Gaming HP OMEN Core i7 12700H 32GB RAM + 1TB SSD RTX 3070 8GB 16.1"" Win11 Home S";19387.00;kemik
45;"Lenovo ThinkPad X1 Gen 11 Core i7-1355U 16GB RAM + 512GB SSD 14"" Win11 Pro Negro";15056.00;kemik
46;"Dell Latitud 7420 14"" i7 1185G7 16Gb Ram + 512 SSD Win 10 Pro";14719.00;kemik
47;"Laptop Gaming HP OMEN Ryzen 7 5800H RX 6600M 8GB, 16GB RAM 512GB SSD 16.1"" Win10 Home";14517.00;kemik
48;"Laptop HP ZBook FireFly G10 Core i7-1355U 16GB RAM + 1TB SSD + NVIDIA RTX A500 4GB 16"" Win11 Pro Gris";14341.00;kemik
49;"Asus TUF Gaming F15 FX507 Core i7-12700H 16GB RAM + 1TB SSD 15.6"" RTX 4060 8GB Win11 Home Gris";13555.00;kemik
50;"Laptop HP ENVY x360 2 en 1 Core i7-1355U 16GB RAM + 1TB SSD + RTX 3050 4GB 15.6"" Táctil Win11 Home S Plateado";12829.00;kemik
51;"Laptop Dell G15 5515, AMD Ryzen 7 5800H RTX 3060 6GB 16GB RAM 512GB SSD 15.6"" Win11 Home";12803.00;kemik
52;"Laptop HP EliteBook 840 G10 Core i7-1355U 16GB RAM + 1TB SSD 14"" Win11 Pro Plateado";12509.00;kemik
53;"Laptop Dell Latitude 5540 Core i7-1355U 16GB RAM + 512GB SSD 15.6"" Win11 Pro Gris";11836.00;kemik
